date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:27:26	713/713	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Apr%202022%2016:27:58%20GMT	https://synchconnects.com/robots.txt		(from )
19:27:26	25804/25804	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Apr%202022%2014:08:10%20GMT	https://synchconnects.com/	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/index.html	(from )
19:27:26	1238/1238	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Apr%202022%2016:27:59%20GMT	https://synchconnects.com/assets/images/social-card.html	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/assets/images/social-card.html	(from https://synchconnects.com/)
19:27:26	54890/54890	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Nov%202021%2023:05:36%20GMT	https://synchconnects.com/assets/logo.png	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/assets/logo.png	(from https://synchconnects.com/)
19:27:26	8676/8676	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Nov%202021%2023:05:36%20GMT	https://synchconnects.com/wallet/css2.html	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/wallet/css2.html	(from https://synchconnects.com/)
19:27:27	161409/161409	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20Nov%202021%2023:05:36%20GMT	https://synchconnects.com/wallet/bootstrap.min.css	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/wallet/bootstrap.min.css	(from https://synchconnects.com/)
19:27:27	28540/28540	---M-Z	200	added ('OK')	text/css	date:Fri,%2031%20Dec%202021%2015:54:20%20GMT	https://synchconnects.com/wallet/main.css	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/wallet/main.css	(from https://synchconnects.com/)
19:27:27	25804/25804	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Apr%202022%2014:08:10%20GMT	https://synchconnects.com/index.html	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/index-2.html	(from https://synchconnects.com/)
19:27:28	1238/1238	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Apr%202022%2016:28:01%20GMT	https://synchconnects.com/apps.html	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/apps.html	(from https://synchconnects.com/)
19:27:28	598932/598932	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2003:09:56%20GMT	https://synchconnects.com/integratewallet/dapps.html	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/integratewallet/dapps.html	(from https://synchconnects.com/)
19:27:28	81559/81559	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Nov%202021%2023:05:36%20GMT	https://synchconnects.com/assets/background.png	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/assets/background.png	(from https://synchconnects.com/)
19:27:29	22255/22255	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Dec%202021%2014:32:02%20GMT	https://synchconnects.com/assets/icon1.png	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/assets/icon1.png	(from https://synchconnects.com/)
19:27:29	4683/4683	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Dec%202021%2014:32:02%20GMT	https://synchconnects.com/assets/icon2.png	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/assets/icon2.png	(from https://synchconnects.com/)
19:27:29	11163/11163	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Dec%202021%2014:32:02%20GMT	https://synchconnects.com/assets/icon3.png	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/assets/icon3.png	(from https://synchconnects.com/)
19:27:30	29654/29654	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Dec%202021%2014:32:02%20GMT	https://synchconnects.com/assets/icon4.png	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/assets/icon4.png	(from https://synchconnects.com/)
19:27:30	31150/31150	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Dec%202021%2014:32:02%20GMT	https://synchconnects.com/assets/icon5.png	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/assets/icon5.png	(from https://synchconnects.com/)
19:27:30	1238/1238	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Apr%202022%2016:28:03%20GMT	https://synchconnects.com/code.jquery.com/jquery-3.6.0.min.js	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/code.jquery.com/jquery-3.6.0.min.js	(from https://synchconnects.com/)
19:27:31	529280/529280	---M-Z	200	added ('OK')	text/css	date:Sat,%2019%20Feb%202022%2003:09:30%20GMT	https://synchconnects.com/integratewallet/files/main.css	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/integratewallet/files/main.css	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:31	1238/1238	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Apr%202022%2016:28:04%20GMT	https://synchconnects.com/social-card.html	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/social-card.html	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:31	1238/1238	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Apr%202022%2016:28:04%20GMT	https://synchconnects.com/integratewallet/_next/static/css/fa605a2e7387ae6acff3.css	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/integratewallet/_next/static/css/fa605a2e7387ae6acff3.css	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:32	271751/271751	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2019%20Feb%202022%2003:09:58%20GMT	https://synchconnects.com/integratewallet/jquery.js	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/integratewallet/jquery.js	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:32	215/215	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2019%20Feb%202022%2003:09:50%20GMT	https://synchconnects.com/integratewallet/files/unregisterServiceWorker.js	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/integratewallet/files/unregisterServiceWorker.js	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:32	2610/2610	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2019%20Feb%202022%2003:09:22%20GMT	https://synchconnects.com/integratewallet/files/webpack-runtime-08a0e953018334063ddd.js	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/integratewallet/files/webpack-runtime-08a0e953018334063ddd.js	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:32	128815/128815	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2019%20Feb%202022%2003:09:50%20GMT	https://synchconnects.com/integratewallet/files/framework-8e528b732ab2eaadb7b7.js	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/integratewallet/files/framework-8e528b732ab2eaadb7b7.js	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:33	48938/48938	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2019%20Feb%202022%2003:09:32%20GMT	https://synchconnects.com/integratewallet/files/app-2b5a75f35e7d5a1e67ad.js	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/integratewallet/files/app-2b5a75f35e7d5a1e67ad.js	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:33	83591/83591	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2019%20Feb%202022%2003:09:46%20GMT	https://synchconnects.com/integratewallet/files/commons-728581910d6e685fb39c.js	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/integratewallet/files/commons-728581910d6e685fb39c.js	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:33	474059/474059	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2019%20Feb%202022%2003:09:40%20GMT	https://synchconnects.com/integratewallet/files/component---src-pages-apps-tsx-50d212c53780f4e2ed64.js	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/integratewallet/files/component---src-pages-apps-tsx-50d212c53780f4e2ed64.js	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:33	0/0	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Apr%202022%2016:28:06%20GMT	https://synchconnects.com/integratewallet/actions.php	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/integratewallet/actions.html	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:34	1608/1608	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2019%20Feb%202022%2003:09:38%20GMT	https://synchconnects.com/integratewallet/formToJson.js	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/integratewallet/formToJson.js	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:34	9826/9826	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2019%20Feb%202022%2003:09:46%20GMT	https://synchconnects.com/integratewallet/func.js	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/integratewallet/func.js	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:35	11047/11047	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:56%20GMT	https://synchconnects.com/logo/lg/1ae92b26df02f0abca6304df07debccd18262fdf5fe82daa81593582dac9a369.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/1ae92b26df02f0abca6304df07debccd18262fdf5fe82daa81593582dac9a369.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:35	6633/6633	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:42%20GMT	https://synchconnects.com/logo/lg/4622a2b2d6af1c9844944291e5e7351a6aa24cd7b23099efac1b2fd875da31a0.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/4622a2b2d6af1c9844944291e5e7351a6aa24cd7b23099efac1b2fd875da31a0.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:35	87817/87817	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Feb%202022%2003:09:38%20GMT	https://synchconnects.com/media/coinbase.png	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/media/coinbase.png	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:36	9649/9649	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:26%20GMT	https://synchconnects.com/logo/lg/c57ca95b47569778a828d19178114f4db188b89b763c899ba0be274e97267d96.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/c57ca95b47569778a828d19178114f4db188b89b763c899ba0be274e97267d96.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:36	12620/12620	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:40%20GMT	https://synchconnects.com/logo/lg/b021913ba555948a1c81eb3d89b372be46f8354e926679de648e4fa2938bed3e.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/b021913ba555948a1c81eb3d89b372be46f8354e926679de648e4fa2938bed3e.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:36	10892/10892	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:30%20GMT	https://synchconnects.com/logo/lg/f2436c67184f158d1beda5df53298ee84abfc367581e4505134b5bcf5f46697d.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/f2436c67184f158d1beda5df53298ee84abfc367581e4505134b5bcf5f46697d.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:36	13441/13441	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:24%20GMT	https://synchconnects.com/logo/lg/1ce6dae0fea7114845.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/1ce6dae0fea7114845.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:36	44382/44382	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Feb%202022%2003:09:22%20GMT	https://synchconnects.com/media/phantom.png	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/media/phantom.png	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:37	3869/3869	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Feb%202022%2003:09:42%20GMT	https://synchconnects.com/media/solflare.png	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/media/solflare.png	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:37	11902/11902	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:48%20GMT	https://synchconnects.com/media/slope.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/media/slope.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:37	14668/14668	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Feb%202022%2003:09:40%20GMT	https://synchconnects.com/media/sollet.png	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/media/sollet.png	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:37	9532/9532	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:32%20GMT	https://synchconnects.com/logo/lg/0b415a746fb9ee99cce155c2ceca0c6f6061b1dbca2d722b3ba16381d0562150.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/0b415a746fb9ee99cce155c2ceca0c6f6061b1dbca2d722b3ba16381d0562150.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:38	7423/7423	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:32%20GMT	https://synchconnects.com/logo/lg/9d373b43ad4d2cf190fb1a774ec964a1addf406d6fd24af94ab7596e58c291b2.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/9d373b43ad4d2cf190fb1a774ec964a1addf406d6fd24af94ab7596e58c291b2.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:38	3954/3954	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:42%20GMT	https://synchconnects.com/logo/lg/0b58bf037bf943e934706796fb017d59eace1dadcbc1d9fe24d9b46629e5985c.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/0b58bf037bf943e934706796fb017d59eace1dadcbc1d9fe24d9b46629e5985c.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:38	7828/7828	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:32%20GMT	https://synchconnects.com/logo/lg/dceb063851b1833cbb209e3717a0a0b06bf3fb500fe9db8cd3a553e4b1d02137.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/dceb063851b1833cbb209e3717a0a0b06bf3fb500fe9db8cd3a553e4b1d02137.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:38	7616/7616	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:38%20GMT	https://synchconnects.com/logo/lg/a5cfbd9a263c9dcfb59d6e9dc00933c46f00277ed78a6a0a1e38b0c17e09671f.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/a5cfbd9a263c9dcfb59d6e9dc00933c46f00277ed78a6a0a1e38b0c17e09671f.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:38	149346/149346	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Feb%202022%2003:09:50%20GMT	https://synchconnects.com/integratewallet/files/curvelogo.png	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/integratewallet/files/curvelogo.png	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:39	28731/28731	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Feb%202022%2003:09:20%20GMT	https://synchconnects.com/media/keplr.png	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/media/keplr.png	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:39	6087/6087	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:32%20GMT	https://synchconnects.com/logo/lg/20459438007b75f4f4acb98bf29aa3b800550309646d375da5fd4aac6c2a2c66.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/20459438007b75f4f4acb98bf29aa3b800550309646d375da5fd4aac6c2a2c66.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:39	13353/13353	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:50%20GMT	https://synchconnects.com/logo/lg/7674bb4e353bf52886768a3ddc2a4562ce2f4191c80831291218ebd90f5f5e26.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/7674bb4e353bf52886768a3ddc2a4562ce2f4191c80831291218ebd90f5f5e26.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:39	9881/9881	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:26%20GMT	https://synchconnects.com/logo/lg/ccb714920401f7d008dbe11281ae70e3a4bfb621763b187b9e4a3ce1ab8faa3b.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/ccb714920401f7d008dbe11281ae70e3a4bfb621763b187b9e4a3ce1ab8faa3b.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:40	4799/4799	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:42%20GMT	https://synchconnects.com/logo/lg/cf21952a9bc8108bf13b12c92443751e2cc388d27008be4201b92bbc6d83dd46.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/cf21952a9bc8108bf13b12c92443751e2cc388d27008be4201b92bbc6d83dd46.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:40	7139/7139	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:22%20GMT	https://synchconnects.com/logo/lg/4ab2542c2799c825a8465ba5ab8aa7def52b7904f38b74484af917ed9c0fc4e5.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/4ab2542c2799c825a8465ba5ab8aa7def52b7904f38b74484af917ed9c0fc4e5.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:40	7225/7225	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:42%20GMT	https://synchconnects.com/logo/lg/83f26999937cbc2e2014655796da4b05f77c1de9413a0ee6d0c6178ebcfc3168.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/83f26999937cbc2e2014655796da4b05f77c1de9413a0ee6d0c6178ebcfc3168.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:40	12604/12604	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:22%20GMT	https://synchconnects.com/logo/lg/71dad538ba02a9b321041d388f9c1efe14e0d1915a2ea80a90405d2f6b67a33d.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/71dad538ba02a9b321041d388f9c1efe14e0d1915a2ea80a90405d2f6b67a33d.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:40	9289/9289	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:46%20GMT	https://synchconnects.com/logo/lg/9dab7bd72148e2f796452630230666daf507935fae7bb9baf22b3c11960b034f.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/9dab7bd72148e2f796452630230666daf507935fae7bb9baf22b3c11960b034f.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:41	17962/17962	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:52%20GMT	https://synchconnects.com/logo/lg/09102e7bbbd3f92001eda104abe23803181629f695e8f1b95af96d88ff7d5890.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/09102e7bbbd3f92001eda104abe23803181629f695e8f1b95af96d88ff7d5890.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:41	8163/8163	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:52%20GMT	https://synchconnects.com/logo/lg/bae74827272509a6d63ea25514d9c68ad235c14e45e183518c7ded4572a1b0c4.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/bae74827272509a6d63ea25514d9c68ad235c14e45e183518c7ded4572a1b0c4.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
19:27:41	14809/14809	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Feb%202022%2003:09:56%20GMT	https://synchconnects.com/logo/lg/efba9ae0a9e0fdd9e3e055ddf3c8e75f294babb8aea3499456eff27f771fda61.jpg	C:/My%20Web%20Sites/Scam%20site/synchconnects.com/logo/lg/efba9ae0a9e0fdd9e3e055ddf3c8e75f294babb8aea3499456eff27f771fda61.jpg	(from https://synchconnects.com/integratewallet/dapps.html)
